Smiles,tanimoto_coefficient,Name,pKa,Center,Index,Source,Error
[O-][N+](c(cc1)cc(C(/C2=C3\NC=CC=C3)=O)c1C2=O)=O,0.3111111111111111,583,9.26,N,10,Moitessier,0.0
Cn3c(c1ccccn1)[nH+]c2ccccc23,0.34210526315789475,4597,4.47,N,9,Moitessier,0.0
CCOc1ccc(cc1)c2ccccc2[OH:15],0.5172413793103449,1236_1,11.39,O,15,Moitessier/RBFmodel_Train,0.0
Cc3nc(N)c2cnn(c1ccccc1)c2[nH+]3,0.32558139534883723,7298,4.52,N,16,Moitessier,0.0
CCOCC[NH+](CCOCC)c1ccccc1,0.325,1234,4.1,N,5,Moitessier,0.0
Cc(cc1)ccc1S(N)(=O)=O,0.4444444444444444,1686,9.61,N,8,Moitessier,0.0
c1cc(cc(c1)N(=O)=O)C[NH3+:8],0.6060606060606061,218_1,8.65,N,10,Moitessier/RBFmodel_Test,0.0
C=CC[NH+](CCCNC(/C=N/O)=O)CC=C,0.6285714285714286,2480,8.14,O,11,Moitessier,0.0
C[C@@H](C(=O)[OH:8])[N+](=O)[O-],0.6190476190476191,957_1,3.79,O,4,Moitessier/RBFmodel_Train,0.0
c1cc(cc2c1ccc(c2)Cl)[NH3+:11],0.44,354_1,3.71,N,11,Moitessier/RBFmodel_Train,0.0
NC(C[NH3+])C[NH3+],0.35714285714285715,6940,7.95,N,5,Moitessier,0.0
Nc1nc(NCCO)nc(NCCO)[nH+]1,0.4166666666666667,3941,5.18,N,14,Moitessier,0.0
c1cc(c(cc1OC2CC[NH+:23](CC2)C[C@@H](CNC(=O)c3c[nH]c(=O)cc3C(F)(F)F)O)Cl)Cl,0.43209876543209874,854_1,7.7,N,10,Moitessier/RBFmodel_Valid,0.0
OC(CI)=O,0.46153846153846156,6917,3.175,O,0,Moitessier/RBFmodel_Train,0.005
C(CS(=O)(=O)[O-])[SH:6],0.2727272727272727,1378_1,9.14,S,6,Moitessier/RBFmodel_Train,0.06
CC([NH3+])CCC(=O)[O-],0.43478260869565216,1024,10.43,N,2,Moitessier,0.0
O=C(CC1)NC1=O,0.3125,2183,9.62,N,4,Moitessier,0.0
NS(=O)(=O)c1ccccc1C(=O)O,0.45161290322580644,228,3.14,O,12,Moitessier,0.0
Cc2[nH+]cc1COC(O)c1c2O,0.1951219512195122,6610,4.3,N,2,Moitessier,0.0
CN(C)c2[nH+]c1CCCCc1o2,0.21428571428571427,3857,6.16,N,4,Moitessier,0.0
Cc1cccc(O)c1C,0.47619047619047616,2316,10.46,O,6,Moitessier/RBFmodel_Train,0.04
C=C[C@@]1(O)C[N@H+]2CC[C@H]1CC2[C@H](O)c3ccnc4ccc(OC)cc34,0.2911392405063291,5085,7.24,N,5,Moitessier,0.0
CNc1[nH+:6]ccc(n1)Cl,0.3142857142857143,138_1,2.59,N,3,Moitessier/RBFmodel_Train,0.0
O=C(Cc1ccc(Cl)c([N+](=O)[O-])c1)c2cccnc2,0.4117647058823529,7518,11.61,C,2,Moitessier,0.0
Cc1cc(cc(c1Cl)C)[OH:9],0.5,997_1,9.7,O,9,Moitessier/RBFmodel_Test,0.0
Cc1cc(N(=O)=O)cc(C)c1[NH3+],0.6071428571428571,3754,0.98,N,11,Moitessier/RBFmodel_Train,0.0
Cc(cc1)ccc1SCC(O)=O,0.4827586206896552,2741,3.45,O,10,Moitessier,0.0
[O-]C(C1(CCCC1)C(O)=O)=O,0.23076923076923078,6905,6.08,O,8,Moitessier,0.0
CC(Nc(cc1)ccc1S)=O,0.42424242424242425,1495,6.08,S,9,Moitessier,0.0
O=C1Nc(cccc2)c2NC1=O,0.36,5359,9.67,N,9,Moitessier,0.0
O=C([O-])CCc2[nH]c1ccccc1[nH+]2,0.35714285714285715,4449,6.37,N,13,Moitessier,0.0
O=C(CC(C1)=O)CS1=O,0.20833333333333334,881,3.26,C,2,Moitessier,0.0
c1ccc(cc1)[C@@H]2C[C@H]2[NH3+:10],0.3448275862068966,183_1,8.27,N,9,Moitessier/RBFmodel_Valid,0.0
Nc1nc(O)nc2nc[nH]c12,0.5161290322580645,2267,8.99,O,4,Moitessier,0.0
O=C(O)c1nc[nH]c1C(=O)[O-],0.30952380952380953,4010,8.04,O,2,Moitessier,0.0
Oc(cc1)ccc1C(SS1)=CC1=O,0.2903225806451613,1907,8.27,O,0,Moitessier,0.0
Cc1cc([O-])[nH+]c2OCCc12,0.1951219512195122,5378,8.44,N,5,Moitessier,0.0
c2ncc(Cc1c[nH+]c[nH]1)[nH]2,0.375,334,7.63,N,7,Moitessier,0.0
OC(c1ncccn1)=O,0.36363636363636365,6329,2.85,O,0,Moitessier/RBFmodel_Train,0.0
CCCS,0.25,4740,10.65,S,3,Moitessier,0.0
C/C=C/c2ccc1ccc[nH+]c1c2O,0.4634146341463415,5986,4.76,N,10,Moitessier,0.0
CC1(C(=O)O)CCC=[N+]1[O-],0.21951219512195122,2299,2.95,O,4,Moitessier,0.0
N#CC(C#N)=NNc(cc1)ccc1/N=N/c1ccccc1,0.2826086956521739,2195,7.33,N,6,Moitessier,0.0
