Smiles,tanimoto_coefficient,Name,pKa,Center,Index,Source,Error
[O-][N+](c(cc1)cc(C(/C2=C3\NC=CC=C3)=O)c1C2=O)=O,0.3111111111111111,583,9.26,N,10,Moitessier,0.0
Cn3c(c1ccccn1)[nH+]c2ccccc23,0.34210526315789475,4597,4.47,N,9,Moitessier,0.0
Cc3nc(N)c2cnn(c1ccccc1)c2[nH+]3,0.32558139534883723,7298,4.52,N,16,Moitessier,0.0
CCOCC[NH+](CCOCC)c1ccccc1,0.325,1234,4.1,N,5,Moitessier,0.0
NC(C[NH3+])C[NH3+],0.35714285714285715,6940,7.95,N,5,Moitessier,0.0
C(CS(=O)(=O)[O-])[SH:6],0.2727272727272727,1378_1,9.14,S,6,Moitessier/RBFmodel_Train,0.06
O=C(CC1)NC1=O,0.3125,2183,9.62,N,4,Moitessier,0.0
Cc2[nH+]cc1COC(O)c1c2O,0.1951219512195122,6610,4.3,N,2,Moitessier,0.0
CN(C)c2[nH+]c1CCCCc1o2,0.21428571428571427,3857,6.16,N,4,Moitessier,0.0
C=C[C@@]1(O)C[N@H+]2CC[C@H]1CC2[C@H](O)c3ccnc4ccc(OC)cc34,0.2911392405063291,5085,7.24,N,5,Moitessier,0.0
CNc1[nH+:6]ccc(n1)Cl,0.3142857142857143,138_1,2.59,N,3,Moitessier/RBFmodel_Train,0.0
[O-]C(C1(CCCC1)C(O)=O)=O,0.23076923076923078,6905,6.08,O,8,Moitessier,0.0
O=C1Nc(cccc2)c2NC1=O,0.36,5359,9.67,N,9,Moitessier,0.0
O=C([O-])CCc2[nH]c1ccccc1[nH+]2,0.35714285714285715,4449,6.37,N,13,Moitessier,0.0
O=C(CC(C1)=O)CS1=O,0.20833333333333334,881,3.26,C,2,Moitessier,0.0
c1ccc(cc1)[C@@H]2C[C@H]2[NH3+:10],0.3448275862068966,183_1,8.27,N,9,Moitessier/RBFmodel_Valid,0.0
O=C(O)c1nc[nH]c1C(=O)[O-],0.30952380952380953,4010,8.04,O,2,Moitessier,0.0
Oc(cc1)ccc1C(SS1)=CC1=O,0.2903225806451613,1907,8.27,O,0,Moitessier,0.0
Cc1cc([O-])[nH+]c2OCCc12,0.1951219512195122,5378,8.44,N,5,Moitessier,0.0
c2ncc(Cc1c[nH+]c[nH]1)[nH]2,0.375,334,7.63,N,7,Moitessier,0.0
OC(c1ncccn1)=O,0.36363636363636365,6329,2.85,O,0,Moitessier/RBFmodel_Train,0.0
CCCS,0.25,4740,10.65,S,3,Moitessier,0.0
CC1(C(=O)O)CCC=[N+]1[O-],0.21951219512195122,2299,2.95,O,4,Moitessier,0.0
N#CC(C#N)=NNc(cc1)ccc1/N=N/c1ccccc1,0.2826086956521739,2195,7.33,N,6,Moitessier,0.0
O=C(C(C1C=CCCC1)C(N1)=O)[N-]C1=S,0.18,5324,11.31,N,10,Moitessier,0.0
[NH3+]c(cccc1)c1O[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1C(O)=O,0.2682926829268293,4393,3.3,O,18,Moitessier,0.0
c1cc(ccc1C[NH+:12](CCO)CCO)F,0.39285714285714285,496_1,6.8,N,7,Moitessier/RBFmodel_Train,0.0
Oc1nc(cc(CCCC2)c2c2)c2[nH]1,0.28205128205128205,4793,12.05,O,0,Moitessier,0.0
Cn2c[nH+]c1[nH]c(=O)[nH]c(=S)c12,0.2926829268292683,3686,0.3,N,3,Moitessier,0.0
Cc1ccccc1n2nn[nH+]c2N,0.26785714285714285,574,1.23,N,10,Moitessier,0.0
CNC(=[NH2+])N(C)C,0.3888888888888889,2037,13.6,N,3,Moitessier,0.0
CC(C)N/C=[NH+]/c2ccc(c1cn(C)cn1)cc2,0.18333333333333332,5595,8.99,N,5,Moitessier,0.0
OCc2[nH]c1ccccc1[nH+]2,0.34375,605,5.4,N,10,Moitessier,0.0
CC(C[NH3+])/C(N)=N/O,0.3333333333333333,5933,9.15,N,3,Moitessier,0.0
CC[C@H]1CSC(=[NH+:7]1)C,0.20588235294117646,58_1,5.301,N,6,Moitessier/RBFmodel_Valid,0.0
O=S1(N=CNc2c1[nH]cn2)=O,0.21951219512195122,6629,5.59,N,4,Moitessier,0.0
C[C@H]1C[C@@H]([C@H]2CCCC[C@H]2[NH2+:13]1)C(=O)OC,0.21052631578947367,525_1,9.9,N,10,Moitessier/RBFmodel_Test,0.0
CNCC(c1cccc(O)c1)O,0.375,2655,10.45,O,9,Moitessier,0.0
COc2ccc1C=C[NH+](C)C(O)c1c2,0.325,4458,2.15,N,8,Moitessier,0.0
N#C/C(/c1ccccc1)=C(\[O-])/O,0.34615384615384615,3816,8.61,O,11,Moitessier,0.0
CCC(C(C=C(C)O1)=O)C1=O,0.29411764705882354,3008,5.3,C,2,Moitessier,0.0
C[C@H]1C[NH2+][C@@H](C)C[NH2+]1,0.2222222222222222,7173,5.23,N,3,Moitessier,0.0
CCc1ccc(c2c1oc(c2CC)C)[OH:15],0.3111111111111111,1208_1,9.94,O,14,Moitessier/RBFmodel_Train,0.0
