Name,pKa,Center,Index,Smiles,Source,Error
583,9.26,N,10,[O-][N+](c(cc1)cc(C(/C2=C3\NC=CC=C3)=O)c1C2=O)=O,Moitessier,0.0
4597,4.47,N,9,Cn3c(c1ccccn1)[nH+]c2ccccc23,Moitessier,0.0
3930,11.1,N,9,Cc1nc([N-][N+]([O-])=O)n[nH]1,Moitessier,0.0
1236_1,11.39,O,15,CCOc1ccc(cc1)c2ccccc2[OH:15],Moitessier/RBFmodel_Train,0.0
1148,11.01,N,0,[NH3+]CCCCCCCCCC(=O)[O-],Moitessier,0.0
1234,4.1,N,5,CCOCC[NH+](CCOCC)c1ccccc1,Moitessier,0.0
1686,9.61,N,8,Cc(cc1)ccc1S(N)(=O)=O,Moitessier,0.0
218_1,8.65,N,10,c1cc(cc(c1)N(=O)=O)C[NH3+:8],Moitessier/RBFmodel_Test,0.0
957_1,3.79,O,4,C[C@@H](C(=O)[OH:8])[N+](=O)[O-],Moitessier/RBFmodel_Train,0.0
353,7.5,N,10,CCCCCCCCCC[NH+](CCO)CC(C)O,Moitessier,0.0
354_1,3.71,N,11,c1cc(cc2c1ccc(c2)Cl)[NH3+:11],Moitessier/RBFmodel_Train,0.0
2783,7.91,N,0,[NH3+]c1ccc(O)cc1O,Moitessier,0.0
5529,10.74,N,8,C#CCCCCCC[NH3+],Moitessier,0.0
1223,9.3,N,11,NC1=[NH+][C@@H](C(=O)[O-])[C@H]([C@@H](O)C[NH3+])N1,Moitessier,0.0
3941,5.18,N,14,Nc1nc(NCCO)nc(NCCO)[nH+]1,Moitessier,0.0
854_1,7.7,N,10,c1cc(c(cc1OC2CC[NH+:23](CC2)C[C@@H](CNC(=O)c3c[nH]c(=O)cc3C(F)(F)F)O)Cl)Cl,Moitessier/RBFmodel_Valid,0.0
1378_1,9.14,S,6,C(CS(=O)(=O)[O-])[SH:6],Moitessier/RBFmodel_Train,0.06
1024,10.43,N,2,CC([NH3+])CCC(=O)[O-],Moitessier,0.0
2183,9.62,N,4,O=C(CC1)NC1=O,Moitessier,0.0
228,3.14,O,12,NS(=O)(=O)c1ccccc1C(=O)O,Moitessier,0.0
80_2,6.61,O,5,c12c(c(C(=O)O)cn3c1c(CC[CH]3C)cc(c2)F)=O,Moitessier,0.0
6610,4.3,N,2,Cc2[nH+]cc1COC(O)c1c2O,Moitessier,0.0
3857,6.16,N,4,CN(C)c2[nH+]c1CCCCc1o2,Moitessier,0.0
2316,10.46,O,6,Cc1cccc(O)c1C,Moitessier/RBFmodel_Train,0.04
138_1,2.59,N,3,CNc1[nH+:6]ccc(n1)Cl,Moitessier/RBFmodel_Train,0.0
997_1,9.7,O,9,Cc1cc(cc(c1Cl)C)[OH:9],Moitessier/RBFmodel_Test,0.0
3754,0.98,N,11,Cc1cc(N(=O)=O)cc(C)c1[NH3+],Moitessier/RBFmodel_Train,0.0
2741,3.45,O,10,Cc(cc1)ccc1SCC(O)=O,Moitessier,0.0
6933,3.95,N,5,Sc2ccc1[nH+]cccc1c2,Moitessier,0.0
6905,6.08,O,8,[O-]C(C1(CCCC1)C(O)=O)=O,Moitessier,0.0
555_1,11.01,N,8,CCCCCCCC[NH2+:17]CCCCCCCC,Moitessier/RBFmodel_Train,0.0
5359,9.67,N,9,O=C1Nc(cccc2)c2NC1=O,Moitessier,0.0
4449,6.37,N,13,O=C([O-])CCc2[nH]c1ccccc1[nH+]2,Moitessier,0.0
183_1,8.27,N,9,c1ccc(cc1)[C@@H]2C[C@H]2[NH3+:10],Moitessier/RBFmodel_Valid,0.0
4063,10.81,N,8,COC(c1cccc(NC=S)c1)=O,Moitessier,0.0
4010,8.04,O,2,O=C(O)c1nc[nH]c1C(=O)[O-],Moitessier,0.0
1907,8.27,O,0,Oc(cc1)ccc1C(SS1)=CC1=O,Moitessier,0.0
5378,8.44,N,5,Cc1cc([O-])[nH+]c2OCCc12,Moitessier,0.0
3070,2.15,O,0,OC(C[NH+](CCNS(c1ccc(CCBr)cc1)(=O)=O)CC(O)=O)=O,Moitessier,0.0
6702,8.8,O,9,Cn2cnc1ncnc(O)c12,Moitessier,0.0
866,10.3,N,0,[NH3+]CCCCc1ccccn1,Moitessier,0.0
6329,2.85,O,0,OC(c1ncccn1)=O,Moitessier/RBFmodel_Train,0.0
5986,4.76,N,10,C/C=C/c2ccc1ccc[nH+]c1c2O,Moitessier,0.0
2299,2.95,O,4,CC1(C(=O)O)CCC=[N+]1[O-],Moitessier,0.0
2195,7.33,N,6,N#CC(C#N)=NNc(cc1)ccc1/N=N/c1ccccc1,Moitessier,0.0
4250,6.71,O,0,Oc1c2c(O)cccc2ccc1,Moitessier,0.0
5324,11.31,N,10,O=C(C(C1C=CCCC1)C(N1)=O)[N-]C1=S,Moitessier,0.0
4393,3.3,O,18,[NH3+]c(cccc1)c1O[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1C(O)=O,Moitessier,0.0
1355,5.62,N,12,CCN(CC)c1nc(N)nc(N)[nH+]1,Moitessier,0.0
496_1,6.8,N,7,c1cc(ccc1C[NH+:12](CCO)CCO)F,Moitessier/RBFmodel_Train,0.0
4793,12.05,O,0,Oc1nc(cc(CCCC2)c2c2)c2[nH]1,Moitessier,0.0
2257,6.5,N,2,O=C(Nc1c2[nH]cn1)NC2=S,Moitessier,0.0
6621,2.68,O,0,OC(C(Cc1ccccc1)=O)=O,Moitessier,0.0
3686,0.3,N,3,Cn2c[nH+]c1[nH]c(=O)[nH]c(=S)c12,Moitessier,0.0
2037,13.6,N,3,CNC(=[NH2+])N(C)C,Moitessier,0.0
1296,4.45,O,15,C[C@@](Cc1ccc(cc1)N(=O)=O)(CC(=O)[OH:19])C(=O)OC,Moitessier/RBFmodel_Test,0.0
5595,8.99,N,5,CC(C)N/C=[NH+]/c2ccc(c1cn(C)cn1)cc2,Moitessier,0.0
5933,9.15,N,3,CC(C[NH3+])/C(N)=N/O,Moitessier,0.0
58_1,5.301,N,6,CC[C@H]1CSC(=[NH+:7]1)C,Moitessier/RBFmodel_Valid,0.0
5025,3.0,O,19,[O-][N+](c(c1ccccc11)cc(C[NH+]2CCOCC2)c1O)=O,Moitessier,0.0
259,5.185,N,0,[NH3+]c2ccc1CCCCc1c2,Moitessier/RBFmodel_Train,0.015
6629,5.59,N,4,O=S1(N=CNc2c1[nH]cn2)=O,Moitessier,0.0
6132,5.2,O,18,[O-]P(C(c(cccc1)c1O)[NH2+]Cc1ccncc1)(O)=O,Moitessier,0.0
525_1,9.9,N,10,C[C@H]1C[C@@H]([C@H]2CCCC[C@H]2[NH2+:13]1)C(=O)OC,Moitessier/RBFmodel_Test,0.0
2655,10.45,O,9,CNCC(c1cccc(O)c1)O,Moitessier,0.0
500,8.0,N,4,N/C(CC([NH3+])c1ccccc1)=N\O,Moitessier,0.0
3816,8.61,O,11,N#C/C(/c1ccccc1)=C(\[O-])/O,Moitessier,0.0
5447,10.9,O,6,Cc1nn(C)c(O)c1Cc1ccccc1,Moitessier,0.0
2468,12.9,O,0,Oc(cc1c2ccccc2)nn1c1ccccc1,Moitessier,0.0
1574,7.8,O,18,Cc(c(c1ccccc1)nn1c2ccccc2)c1O,Moitessier,0.0
6767,10.2,N,0,[NH3+]CCc1c[nH]c2ccccc12,Moitessier/RBFmodel_Valid,0.0
2843,2.13,N,9,Cn2cc1ccccc1[nH+]2,Moitessier,0.0
1813,8.7,N,8,COC(=O)C1=CCC[NH2+]C1,Moitessier,0.0
3999,5.41,N,2,Cc2[nH+]nc1CCCCc1c2C,Moitessier,0.0
7097,4.75,N,0,[NH3+]c3ccc(c2ccc(/[NH+]=C/c1ccccc1O)cc2)cc3,Moitessier,0.0
3737,3.8,N,3,ON/C(=[NH+]/O)c1ccccc1,Moitessier,0.0
177_2,8.76,N,18,N#Cc4ccc3sc1ccccc1n(CCCC[NH+]2CCC(O)CC2)c3c4,Moitessier,0.0
5399,6.27,N,11,CCOc2ccc1[nH]c(CC)[nH+]c1c2,Moitessier,0.0
1339,4.65,O,8,CCCCCCCP(=[OH+])(CCCCCCC)CCCCCCC,Moitessier,0.0
2996,10.8,N,2,S=CNc(cc1)ccc1Cl,Moitessier,0.0
848_1,4.3,N,8,c1ccc(cc1)C(=O)[NH:26]S(=O)(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Moitessier/RBFmodel_Train,0.0
783_1,7.9,N,11,C[C@H](CO)Nc1c2cc(c(=O)[nH:22]c2nc(n1)SCc3cccc(c3F)F)C#N,Moitessier/RBFmodel_Train,0.0
810,7.46,N,4,C/C=C/1C[NH+]2CC[C@]35C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc4ccccc45,Moitessier,0.0
4719,9.52,O,8,Cc1ccc(ccc(O)c2)c2c1,Moitessier,0.0
1137_1,3.97,O,12,c1cc(cc(c1)N(=O)=O)CC(=O)[OH:13],Moitessier/RBFmodel_Valid,0.0
6862,4.8,N,23,CCOCCn4c(CN2CC[NH+](CCCCn1cccn1)CC2)[nH+]c3ccccc34,Moitessier,0.0
6385,1.9,O,0,OC(c1[nH+]c2ccccc2cc1)=O,Moitessier,0.0
4634,4.22,O,0,OC(c1ccc[nH]1)=O,Moitessier,0.0
717_1,5.05,N,15,CCn3cc(C(=O)O)c(=O)c2cc(F)c([NH+:14]1CC[NH2+]CC1)nc23,Moitessier,0.0
3165,4.19,O,4,OC(C(C(O)=O)c(cc1)ccc1c1ccccc1)C1CCCCC1,Moitessier,0.0
4132,8.5,O,12,[O-][N+](=O)c1ccccc1[B-](O)(O)[OH2+],Moitessier,0.0
396_1,8.47,N,12,CC(C)C[C@@H](c1ccc(cc1)Cl)[NH3+:12],Moitessier/RBFmodel_Train,0.0
4579,4.6,N,9,Cc2[nH]c1cccnc1[nH+]2,Moitessier,0.0
5699,5.51,N,7,[NH3+]CCCc1cc[nH+]cc1,Moitessier,0.0
4669,5.29,N,5,Cc1nnc(NS(c(cc2)ccc2N)(=O)=O)s1,Moitessier,0.0
581,3.1,O,3,C/C(/C(O)=O)=C(/C1)\C(C)=C(C)C1=O,Moitessier,0.0
6206,7.5,N,12,Cc3c1ccncc1cc4c2c[nH+]ccc2[nH]c34,Moitessier,0.0
4966,2.43,N,4,C[NH+]3CC[NH+](C(c1ccccc1)c2ccc(Cl)cc2)CC3,Moitessier,0.0
262_2,3.16,N,32,COC5(OC)C[C@@H]4[C@@H]2C(=O)N(Cc1ccc(F)cc1)C(=O)[C@@H]2[C@H](c3ccc(C(N)=[NH2+])cc3)[NH+]4C5,Moitessier,0.0
7312,4.16,O,5,CCC(C(C(O)=O)c(cc1)ccc1c1ccccc1)O,Moitessier,0.0
4780,2.94,O,0,OC(c(o1)ccc1I)=O,Moitessier,0.0
5824,11.4,N,6,CNc1c(cn[nH]2)c2nc(SC)n1,Moitessier,0.0
1300,8.68,N,17,COc4cccc5C(=O)N(C1CC2CCC(C1)[NH+]2Cc3ccccc3)Cc45,Moitessier,0.0
5927,2.62,N,9,Nc1cccc2ncc[nH+]c12,Moitessier,0.0
1313,8.0,O,0,Oc(c1ncccc1c(I)c1)c1I,Moitessier,0.0
3637,2.8,N,0,[NH3+]c3ccc(c2ncc(c1ccc(Br)cc1)o2)cc3,Moitessier,0.0
1037,8.08,N,1,C[NH+]1CCCC1c2cccnc2,Moitessier/JensenSwainOlsen,0.02
154,9.29,N,3,C=CC[NH2+]CC=C,Moitessier/RBFmodel_Train,0.0
4315,4.655,O,2,CC(O)=O,Moitessier/RBFmodel_Train,0.105
7287,4.04,N,7,OC3CO[C@H](n2c[nH+]c1ccccc12)[C@@H](O)[C@@H]3O,Moitessier,0.0
5599,7.65,N,4,CC(C)(C(N1)=S)NC1=S,Moitessier,0.0
4129,12.3,O,14,CCc1c(C)n(c2ccccc2)nc1O,Moitessier,0.0
1152_1,8.47,O,13,CCCCOC(=O)c1ccc(cc1)[OH:13],Moitessier/RBFmodel_Train,0.0
