Name,pKa,Center,Index,Smiles,Source,Error
4597,4.47,N,9,Cn3c(c1ccccn1)[nH+]c2ccccc23,Moitessier,0.0
3930,11.1,N,9,Cc1nc([N-][N+]([O-])=O)n[nH]1,Moitessier,0.0
1236_1,11.39,O,15,CCOc1ccc(cc1)c2ccccc2[OH:15],Moitessier/RBFmodel_Train,0.0
7298,4.52,N,16,Cc3nc(N)c2cnn(c1ccccc1)c2[nH+]3,Moitessier,0.0
1234,4.1,N,5,CCOCC[NH+](CCOCC)c1ccccc1,Moitessier,0.0
1686,9.61,N,8,Cc(cc1)ccc1S(N)(=O)=O,Moitessier,0.0
218_1,8.65,N,10,c1cc(cc(c1)N(=O)=O)C[NH3+:8],Moitessier/RBFmodel_Test,0.0
2480,8.14,O,11,C=CC[NH+](CCCNC(/C=N/O)=O)CC=C,Moitessier,0.0
353,7.5,N,10,CCCCCCCCCC[NH+](CCO)CC(C)O,Moitessier,0.0
354_1,3.71,N,11,c1cc(cc2c1ccc(c2)Cl)[NH3+:11],Moitessier/RBFmodel_Train,0.0
2783,7.91,N,0,[NH3+]c1ccc(O)cc1O,Moitessier,0.0
6940,7.95,N,5,NC(C[NH3+])C[NH3+],Moitessier,0.0
1223,9.3,N,11,NC1=[NH+][C@@H](C(=O)[O-])[C@H]([C@@H](O)C[NH3+])N1,Moitessier,0.0
3941,5.18,N,14,Nc1nc(NCCO)nc(NCCO)[nH+]1,Moitessier,0.0
854_1,7.7,N,10,c1cc(c(cc1OC2CC[NH+:23](CC2)C[C@@H](CNC(=O)c3c[nH]c(=O)cc3C(F)(F)F)O)Cl)Cl,Moitessier/RBFmodel_Valid,0.0
6917,3.175,O,0,OC(CI)=O,Moitessier/RBFmodel_Train,0.005
1024,10.43,N,2,CC([NH3+])CCC(=O)[O-],Moitessier,0.0
2183,9.62,N,4,O=C(CC1)NC1=O,Moitessier,0.0
228,3.14,O,12,NS(=O)(=O)c1ccccc1C(=O)O,Moitessier,0.0
