Name,pKa,Center,Index,Smiles,Error
583,9.26,N,10,[O-][N+](c(cc1)cc(C(/C2=C3\NC=CC=C3)=O)c1C2=O)=O,0
3930,11.1,N,9,Cc1nc([N-][N+]([O-])=O)n[nH]1,0
1236_1,11.39,O,15,CCOc1ccc(cc1)c2ccccc2[OH:15],0
7298,4.52,N,16,Cc3nc(N)c2cnn(c1ccccc1)c2[nH+]3,0
1148,11.01,N,0,[NH3+]CCCCCCCCCC(=O)[O-],0
1686,9.61,N,8,Cc(cc1)ccc1S(N)(=O)=O,0
218_1,8.65,N,10,c1cc(cc(c1)N(=O)=O)C[NH3+:8],0
2480,8.14,O,11,C=CC[NH+](CCCNC(/C=N/O)=O)CC=C,0
957_1,3.79,O,4,C[C@@H](C(=O)[OH:8])[N+](=O)[O-],0
354_1,3.71,N,11,c1cc(cc2c1ccc(c2)Cl)[NH3+:11],0
2783,7.91,N,0,[NH3+]c1ccc(O)cc1O,0
6940,7.95,N,5,NC(C[NH3+])C[NH3+],0
5529,10.74,N,8,C#CCCCCCC[NH3+],0
3941,5.18,N,14,Nc1nc(NCCO)nc(NCCO)[nH+]1,0
854_1,7.7,N,10,c1cc(c(cc1OC2CC[NH+:23](CC2)C[C@@H](CNC(=O)c3c[nH]c(=O)cc3C(F)(F)F)O)Cl)Cl,0
6917,3.175,O,0,OC(CI)=O,0.005
1378_1,9.14,S,6,C(CS(=O)(=O)[O-])[SH:6],0.06
2183,9.62,N,4,O=C(CC1)NC1=O,0
228,3.14,O,12,NS(=O)(=O)c1ccccc1C(=O)O,0
80_2,6.61,O,5,c12c(c(C(=O)O)cn3c1c(CC[CH]3C)cc(c2)F)=O,0
3857,6.16,N,4,CN(C)c2[nH+]c1CCCCc1o2,0
2316,10.46,O,6,Cc1cccc(O)c1C,0.04
5085,7.24,N,5,C=C[C@@]1(O)C[N@H+]2CC[C@H]1CC2[C@H](O)c3ccnc4ccc(OC)cc34,0
138_1,2.59,N,3,CNc1[nH+:6]ccc(n1)Cl,0
997_1,9.7,O,9,Cc1cc(cc(c1Cl)C)[OH:9],0
3754,0.98,N,11,Cc1cc(N(=O)=O)cc(C)c1[NH3+],0
2687,10.9,N,11,CCNc1ncnc2c1cn[nH]2,0
2741,3.45,O,10,Cc(cc1)ccc1SCC(O)=O,0
6905,6.08,O,8,[O-]C(C1(CCCC1)C(O)=O)=O,0
555_1,11.01,N,8,CCCCCCCC[NH2+:17]CCCCCCCC,0
1495,6.08,S,9,CC(Nc(cc1)ccc1S)=O,0
5359,9.67,N,9,O=C1Nc(cccc2)c2NC1=O,0
183_1,8.27,N,9,c1ccc(cc1)[C@@H]2C[C@H]2[NH3+:10],0
2267,8.99,O,4,Nc1nc(O)nc2nc[nH]c12,0
4063,10.81,N,8,COC(c1cccc(NC=S)c1)=O,0
1907,8.27,O,0,Oc(cc1)ccc1C(SS1)=CC1=O,0
5378,8.44,N,5,Cc1cc([O-])[nH+]c2OCCc12,0
334,7.63,N,7,c2ncc(Cc1c[nH+]c[nH]1)[nH]2,0
3070,2.15,O,0,OC(C[NH+](CCNS(c1ccc(CCBr)cc1)(=O)=O)CC(O)=O)=O,0
866,10.3,N,0,[NH3+]CCCCc1ccccn1,0
6329,2.85,O,0,OC(c1ncccn1)=O,0
4740,10.65,S,3,CCCS,0
5986,4.76,N,10,C/C=C/c2ccc1ccc[nH+]c1c2O,0
2195,7.33,N,6,N#CC(C#N)=NNc(cc1)ccc1/N=N/c1ccccc1,0
4250,6.71,O,0,Oc1c2c(O)cccc2ccc1,0
107_1,2.968,N,6,c1cc(c(cc1[NH3+:7])Cl)Cl,0
5324,11.31,N,10,O=C(C(C1C=CCCC1)C(N1)=O)[N-]C1=S,0
1355,5.62,N,12,CCN(CC)c1nc(N)nc(N)[nH+]1,0
496_1,6.8,N,7,c1cc(ccc1C[NH+:12](CCO)CCO)F,0
4540,8.645,N,5,CC(=O)CC[NH+](C)C,0.245
4793,12.05,O,0,Oc1nc(cc(CCCC2)c2c2)c2[nH]1,0
6621,2.68,O,0,OC(C(Cc1ccccc1)=O)=O,0
3686,0.3,N,3,Cn2c[nH+]c1[nH]c(=O)[nH]c(=S)c12,0
574,1.23,N,10,Cc1ccccc1n2nn[nH+]c2N,0
2037,13.6,N,3,CNC(=[NH2+])N(C)C,0
1296,4.45,O,15,C[C@@](Cc1ccc(cc1)N(=O)=O)(CC(=O)[OH:19])C(=O)OC,0
5595,8.99,N,5,CC(C)N/C=[NH+]/c2ccc(c1cn(C)cn1)cc2,0
605,5.4,N,10,OCc2[nH]c1ccccc1[nH+]2,0
5933,9.15,N,3,CC(C[NH3+])/C(N)=N/O,0
5025,3,O,19,[O-][N+](c(c1ccccc11)cc(C[NH+]2CCOCC2)c1O)=O,0
259,5.185,N,0,[NH3+]c2ccc1CCCCc1c2,0.015
5347,9,O,0,Oc1cccc(C(c2ccccc2)=O)c1,0
6629,5.59,N,4,O=S1(N=CNc2c1[nH]cn2)=O,0
525_1,9.9,N,10,C[C@H]1C[C@@H]([C@H]2CCCC[C@H]2[NH2+:13]1)C(=O)OC,0
2655,10.45,O,9,CNCC(c1cccc(O)c1)O,0
4458,2.15,N,8,COc2ccc1C=C[NH+](C)C(O)c1c2,0
500,8,N,4,N/C(CC([NH3+])c1ccccc1)=N\O,0
5447,10.9,O,6,Cc1nn(C)c(O)c1Cc1ccccc1,0
7173,5.23,N,3,C[C@H]1C[NH2+][C@@H](C)C[NH2+]1,0
2468,12.9,O,0,Oc(cc1c2ccccc2)nn1c1ccccc1,0
1574,7.8,O,18,Cc(c(c1ccccc1)nn1c2ccccc2)c1O,0
6767,10.2,N,0,[NH3+]CCc1c[nH]c2ccccc12,0
1208_1,9.94,O,14,CCc1ccc(c2c1oc(c2CC)C)[OH:15],0
2843,2.13,N,9,Cn2cc1ccccc1[nH+]2,0
3999,5.41,N,2,Cc2[nH+]nc1CCCCc1c2C,0
7097,4.75,N,0,[NH3+]c3ccc(c2ccc(/[NH+]=C/c1ccccc1O)cc2)cc3,0
2261,10.62,N,3,CC(C)[NH2+]CCN,0
3737,3.8,N,3,ON/C(=[NH+]/O)c1ccccc1,0
5399,6.27,N,11,CCOc2ccc1[nH]c(CC)[nH+]c1c2,0
1339,4.65,O,8,CCCCCCCP(=[OH+])(CCCCCCC)CCCCCCC,0
2820,6.64,N,4,CC(C)(C(N1)=O)SC1=O,0
2996,10.8,N,2,S=CNc(cc1)ccc1Cl,0
783_1,7.9,N,11,C[C@H](CO)Nc1c2cc(c(=O)[nH:22]c2nc(n1)SCc3cccc(c3F)F)C#N,0
810,7.46,N,4,C/C=C/1C[NH+]2CC[C@]35C(=C(C(=O)OC)[C@H]1C[C@H]23)Nc4ccccc45,0
3631,1.4,N,5,Oc2ccc1[nH+]ccnc1c2,0
4719,9.52,O,8,Cc1ccc(ccc(O)c2)c2c1,0
6862,4.8,N,23,CCOCCn4c(CN2CC[NH+](CCCCn1cccn1)CC2)[nH+]c3ccccc34,0
6385,1.9,O,0,OC(c1[nH+]c2ccccc2cc1)=O,0
445,4.63,N,14,COc3ccc(c2[nH]c1cccnc1[nH+]2)c(OC)c3,0
4634,4.22,O,0,OC(c1ccc[nH]1)=O,0
3165,4.19,O,4,OC(C(C(O)=O)c(cc1)ccc1c1ccccc1)C1CCCCC1,0
4132,8.5,O,12,[O-][N+](=O)c1ccccc1[B-](O)(O)[OH2+],0
1262,9.12,N,2,CC[NH+]1CCC[C@H]1CNC(=O)c2c([O-])c(Cl)cc(Cl)c2OC,0
396_1,8.47,N,12,CC(C)C[C@@H](c1ccc(cc1)Cl)[NH3+:12],0
5699,5.51,N,7,[NH3+]CCCc1cc[nH+]cc1,0
4669,5.29,N,5,Cc1nnc(NS(c(cc2)ccc2N)(=O)=O)s1,0
581,3.1,O,3,C/C(/C(O)=O)=C(/C1)\C(C)=C(C)C1=O,0
4966,2.43,N,4,C[NH+]3CC[NH+](C(c1ccccc1)c2ccc(Cl)cc2)CC3,0
262_2,3.16,N,32,COC5(OC)C[C@@H]4[C@@H]2C(=O)N(Cc1ccc(F)cc1)C(=O)[C@@H]2[C@H](c3ccc(C(N)=[NH2+])cc3)[NH+]4C5,0
722_1,5.28,N,11,CN3C(C(=O)Nc1cccc[nH+:22]1)=C([O-])c2ccccc2S3(=O)=O,0
7312,4.16,O,5,CCC(C(C(O)=O)c(cc1)ccc1c1ccccc1)O,0
5824,11.4,N,6,CNc1c(cn[nH]2)c2nc(SC)n1,0
1300,8.68,N,17,COc4cccc5C(=O)N(C1CC2CCC(C1)[NH+]2Cc3ccccc3)Cc45,0
5750,2.94,O,10,CC([C@H]1[C@H](CC(O)=O)[C@@H](C(O)=O)[NH2+]C1)O,0
5927,2.62,N,9,Nc1cccc2ncc[nH+]c12,0
3637,2.8,N,0,[NH3+]c3ccc(c2ncc(c1ccc(Br)cc1)o2)cc3,0
1037,8.08,N,1,C[NH+]1CCCC1c2cccnc2,0.02
359_1,7.77,N,9,CCO[P@@](=O)(C)SCC[NH+:8](C)C,0
154,9.29,N,3,C=CC[NH2+]CC=C,0
7287,4.04,N,7,OC3CO[C@H](n2c[nH+]c1ccccc12)[C@@H](O)[C@@H]3O,0
5599,7.65,N,4,CC(C)(C(N1)=S)NC1=S,0
4427,2.9,N,2,Nc2[nH+]nc(c1ccccc1)s2,0
4129,12.3,O,14,CCc1c(C)n(c2ccccc2)nc1O,0
230_2,4.2,N,5,CO[C@@H]4CC[NH+]5[C@@H](c1ccc(C#N)cc1)[C@H]3C(=O)N(Cc2ccc(F)cc2)C(=O)[C@H]3[C@H]45,0
7025,8.45,O,10,C[NH+](C)Cc1ccccc1O,0
6858,4.7,O,10,Cc([n+]1c2SCC1)ccc2O,0
2515,2,N,0,[NH3+]c2ccc(S(=O)(=O)Nc1ncccn1)cc2,0
959_1,3.15,O,5,CC(C)(C(=O)[OH:8])C(=O)O,0
5,5.78,N,3,C/C(N)=[NH+]/O,0
2718,10.9,O,9,NCCc(cc1)ccc1O,0
7060,5.85,N,6,Nc(ccc(S(Nc1nccs1)(=O)=O)c1)c1/N=N/c1ccccc1,0
2240,7,N,21,C[C@@H]2O[C@H](n1ccc(N)nc1=O)CC[C@H]2O[C@H]3O[C@H](C)[C@@H]([NH+](C)C)[C@H](O)[C@H]3O,0
83_1,9.51,N,4,COCC[NH2+:7]CCOC,0
5432,9,N,12,Cc1ccccc1/C(=N\CCC[NH+](C)C)c2ccccc2N,0
3856,7.24,O,0,OC(c1ccncc1)n1c[nH+]cc1,0
1343,6.35,N,4,CCC(C)NC(C#N)=C(C#N)C#N,0
4542,8.5,N,4,CC(C)=NNS(C)(=O)=O,0
